"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"zip/20853","","20853","Median_Income_Person","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",35132,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",35844,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",38646,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",39449,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",39960,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",40822,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",40420,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",40556,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",41716,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",42669,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",46481,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",50581,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",54843,"Median Income of a Population"
"zip/20853","","20853","Median_Income_Person","2024","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",54311,"Median Income of a Population"
