"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"zip/20904","","20904","Median_Income_Household","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",68444,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",70169,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",70628,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",73177,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",72458,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",76173,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",81277,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",85504,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",85376,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",85000,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",86513,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",90926,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",93322,"Median Income for All Households"
"zip/20904","","20904","Median_Income_Household","2024","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",96025,"Median Income for All Households"
