placeDcid,placeName,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household
zip/20812,20812,2024,213750,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20814,20814,2024,150996,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20815,20815,2024,194971,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20816,20816,2024,232656,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20817,20817,2024,249332,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20818,20818,2024,245982,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20832,20832,2024,168524,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20837,20837,2024,174063,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20838,20838,2024,250001,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20839,20839,2024,160329,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20841,20841,2024,184688,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20850,20850,2024,125950,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20851,20851,2024,126411,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20852,20852,2024,122472,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20853,20853,2024,159080,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20854,20854,2024,250001,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20855,20855,2024,149110,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20860,20860,2022,152768,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20861,20861,2024,163438,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20862,20862,2024,189667,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20866,20866,2024,140308,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20868,20868,2024,143333,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20872,20872,2024,141050,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20874,20874,2024,115022,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20876,20876,2024,119731,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20877,20877,2024,92800,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20878,20878,2024,144313,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20879,20879,2024,112104,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20880,20880,2024,134583,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20882,20882,2024,184136,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20886,20886,2024,98542,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20895,20895,2024,173625,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20896,20896,2024,250001,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20899,20899,2024,24417,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20901,20901,2024,131386,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20902,20902,2024,114486,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20905,20905,2024,159740,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20906,20906,2024,97521,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/20910,20910,2024,112134,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
