SR ID,Opened,Closed,Status,Department,Area,Sub-Area,Attached Solution (Topic),Attached Solution SLA Days,City,State,Zip Code,Source,Election District,Maryland State District,Congressional District,Congressional Member,Council District,Council Member Name,Changed Date,# of Days Open,Within SLA Windows,SLA Yes,SLA No,Request Type
1583125970,01/01/2025 10:17:09 AM,01/07/2025 09:35:57 AM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20904.0,Web,5.0,20,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,01/07/2025 02:35:57 PM,3,Yes,1,0,Service Request - Fulfillment
1583126709,01/01/2025 04:05:36 PM,01/14/2025 08:48:06 AM,Closed,DOT,Highway Services,Pothole Repair,Pothole Repair,3.0,Silver Spring,MD,20904.0,Web,5.0,20,8.0,JAMIE RASKIN. (Democrat),5.0,Kristin Mink,01/14/2025 01:48:08 PM,8,No,0,1,Service Request - Fulfillment
1583126729,01/01/2025 05:16:28 PM,01/02/2025 09:52:41 AM,Closed,DOT,Highway Services,Pothole Repair,Pothole Repair,3.0,Burtonsville,MD,20866.0,Web,5.0,14,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,01/02/2025 02:52:43 PM,1,Yes,1,0,Service Request - Fulfillment
1583154893,01/02/2025 08:30:14 AM,01/02/2025 02:08:35 PM,Closed,DOT,Highway Services,Debris Pickup,Debris Pickup,5.0,Rockville,MD,20850.0,Web,4.0,15,6.0,DAVID TRONE (Democrat),1.0,Andrew Friedson,01/02/2025 07:08:37 PM,0,Yes,1,0,Service Request - Fulfillment
1583154935,01/02/2025 08:32:39 AM,01/07/2025 11:35:01 AM,Closed,DOT,Highway Services,Office,Roadway Resurfacing or Repaving,5.0,Brookeville,MD,20833.0,Web,8.0,14,3.0,JOHN P. SARBANES (Democrat),7.0,Dawn Luedtke,01/07/2025 04:35:05 PM,2,Yes,1,0,Service Request - Fulfillment
1583169091,01/02/2025 11:16:53 AM,03/21/2025 11:15:58 AM,Closed,DOT,Highway Services,Drainage Repair,Street Drainage Repair,45.0,Silver Spring,MD,20906.0,Phone,13.0,18,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,03/21/2025 03:16:07 PM,53,No,0,1,Service Request - Fulfillment
1583167514,01/02/2025 11:21:05 AM,03/24/2025 10:31:11 AM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20904.0,Phone,5.0,20,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,03/24/2025 02:31:11 PM,54,Yes,1,0,Service Request - Fulfillment
1583169101,01/02/2025 11:23:28 AM,01/02/2025 12:04:14 PM,Closed,DOT,Highway Services,Drainage Repair,Street Drainage Repair,45.0,Silver Spring,MD,20906.0,Phone,13.0,18,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,01/02/2025 05:04:16 PM,0,Yes,1,0,Service Request - Fulfillment
1583169112,01/02/2025 11:24:49 AM,01/02/2025 12:06:07 PM,Closed,DOT,Highway Services,Drainage Repair,Street Drainage Repair,45.0,Silver Spring,MD,20906.0,Phone,13.0,18,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,01/02/2025 05:06:08 PM,0,Yes,1,0,Service Request - Fulfillment
1583169131,01/02/2025 11:26:15 AM,01/02/2025 12:07:25 PM,Closed,DOT,Highway Services,Drainage Repair,Street Drainage Repair,45.0,Silver Spring,MD,20906.0,Phone,13.0,18,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,01/02/2025 05:07:27 PM,0,Yes,1,0,Service Request - Fulfillment
1583155307,01/02/2025 12:05:14 PM,01/03/2025 08:04:19 AM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20904.0,Web,5.0,20,8.0,JAMIE RASKIN. (Democrat),5.0,Kristin Mink,01/03/2025 01:04:19 PM,1,Yes,1,0,Service Request - Fulfillment
1583169397,01/02/2025 12:27:04 PM,01/02/2025 12:31:13 PM,Closed,DOT,Highway Services,Office,Road Repaving Information,1.0,Silver Spring,MD,20904.0,Phone,5.0,20,8.0,JAMIE RASKIN. (Democrat),5.0,Kristin Mink,01/02/2025 05:31:14 PM,0,Yes,1,0,General Information
1583178036,01/02/2025 12:35:21 PM,02/06/2025 04:19:41 PM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20904.0,Phone,5.0,20,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,02/06/2025 09:19:41 PM,23,Yes,1,0,Service Request - Fulfillment
1583193817,01/02/2025 01:26:58 PM,01/22/2025 02:22:48 PM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20906.0,Web,13.0,19,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,01/22/2025 07:22:48 PM,12,Yes,1,0,Service Request - Fulfillment
1583155799,01/02/2025 01:31:44 PM,02/13/2025 02:29:01 PM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20906.0,Web,13.0,19,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,02/13/2025 07:29:01 PM,28,Yes,1,0,Service Request - Fulfillment
1583155690,01/02/2025 02:08:41 PM,03/14/2025 06:49:48 AM,Closed,DOT,Highway Services,Sidewalk Repair,Sidewalk Repair,40.0,Silver Spring,MD,20906.0,Web,13.0,19,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,03/14/2025 10:49:51 AM,48,No,0,1,Service Request - Fulfillment
1583190666,01/02/2025 02:48:48 PM,01/07/2025 11:49:52 AM,Closed,DOT,Highway Services,Office,Roadway Resurfacing or Repaving,5.0,Silver Spring,MD,20906.0,Phone,13.0,19,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,01/07/2025 04:58:06 PM,2,Yes,1,0,Service Request - Fulfillment
1583200794,01/02/2025 04:02:44 PM,03/24/2025 10:32:46 AM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20904.0,Phone,5.0,20,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,03/24/2025 02:32:46 PM,54,Yes,1,0,Service Request - Fulfillment
1583206239,01/02/2025 05:13:50 PM,01/07/2025 03:09:46 PM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20906.0,Phone,13.0,18,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,01/07/2025 08:09:46 PM,2,Yes,1,0,Service Request - Fulfillment
1583194782,01/02/2025 11:14:59 PM,01/15/2025 07:07:18 AM,Closed,DOT,Highway Services,Pothole Repair,Pothole Repair,3.0,Silver Spring,MD,20906.0,Web,13.0,19,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,01/15/2025 12:07:20 PM,8,No,0,1,Service Request - Fulfillment
1583239972,01/03/2025 09:11:32 AM,03/24/2025 10:32:46 AM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20904.0,Web,5.0,20,8.0,JAMIE RASKIN. (Democrat),5.0,Kristin Mink,03/24/2025 02:32:46 PM,53,Yes,1,0,Service Request - Fulfillment
1583248937,01/03/2025 09:55:12 AM,03/24/2025 10:32:46 AM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20904.0,Phone,5.0,20,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,03/24/2025 02:32:46 PM,53,Yes,1,0,Service Request - Fulfillment
1583249186,01/03/2025 10:19:55 AM,01/03/2025 11:14:24 AM,Closed,DOT,Highway Services,Drainage Repair,Street Drainage Repair,45.0,Silver Spring,MD,20906.0,Phone,13.0,18,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,01/03/2025 04:14:24 PM,0,Yes,1,0,Service Request - Fulfillment
1583255204,01/03/2025 11:05:33 AM,03/24/2025 10:32:46 AM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20906.0,Phone,13.0,19,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,03/24/2025 02:32:46 PM,53,Yes,1,0,Service Request - Fulfillment
1583255477,01/03/2025 11:40:21 AM,01/03/2025 05:55:13 PM,Closed,DOT,Highway Services,Snow Removal,Salt Icy Street,1.0,Silver Spring,MD,20904.0,Phone,5.0,14,8.0,JAMIE RASKIN. (Democrat),5.0,Kristin Mink,01/03/2025 10:55:15 PM,0,Yes,1,0,Service Request - Fulfillment
1583266844,01/03/2025 11:47:25 AM,01/16/2025 06:55:46 AM,Closed,DOT,Highway Services,Debris Pickup,Debris Pickup,5.0,Silver Spring,MD,20904.0,Phone,5.0,20,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,01/16/2025 11:55:48 AM,8,No,0,1,Service Request - Fulfillment
1583249770,01/03/2025 12:00:08 PM,02/06/2025 04:13:06 PM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20904.0,Phone,5.0,20,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,02/06/2025 09:13:06 PM,22,Yes,1,0,Service Request - Fulfillment
1583251613,01/03/2025 12:14:16 PM,01/30/2025 01:20:28 PM,Closed,DOT,Highway Services,Road Repair,Road Repair,15.0,Silver Spring,MD,20904.0,Phone,5.0,20,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,01/30/2025 06:20:49 PM,17,No,0,1,Service Request - Fulfillment
1583273913,01/03/2025 12:50:47 PM,01/13/2025 03:24:30 PM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20906.0,Phone,13.0,19,8.0,JAMIE RASKIN. (Democrat),6.0,Natali Fani-Gonz??A!lez,01/13/2025 08:24:30 PM,5,Yes,1,0,Service Request - Fulfillment
1583265224,01/03/2025 12:59:36 PM,02/19/2025 08:25:53 AM,Closed,DHCA,Code Enforcement,,Housing Complaints,60.0,Silver Spring,MD,20904.0,Phone,5.0,20,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,02/19/2025 01:25:53 PM,30,Yes,1,0,Service Request - Fulfillment
1583240715,01/03/2025 03:13:23 PM,01/14/2025 08:43:50 AM,Closed,DOT,Highway Services,Pothole Repair,Pothole Repair,3.0,Silver Spring,MD,20904.0,Web,5.0,14,3.0,JOHN P. SARBANES (Democrat),5.0,Kristin Mink,01/14/2025 01:43:55 PM,6,No,0,1,Service Request - Fulfillment
